example,category,category_num
"But when we reached Shanghai, I felt so terrified by my first view of the great port that I held on to the stone like a talisman.",№1 ЛСВ 1 осмотр,0
"the one event that Pliny is famous for actually having witnessed, he never had a chance to write about. This was the cataclysmic eruption ofVesuvius in AD 79 which cautioned the outlying communities first with a cloud, that appeared like "" a pine tree, for it shot up to a great height in the form of a very tall trunk, which spread itself out into a sort sic of branches. "" Pliny, hearing of the cloud, decided it merited a closer view He launched his galleys from where he was staying in Misenum and headed across the Bay of Naples. This short journey, initially envisioned as one of scholarship and perhaps journalism, developed poignancy as the danger of the erupting volcano became impossible to ignore.",№1 ЛСВ 1 осмотр,0
"In an unprecedented legal move, Mr Justice Hodgson ordered a judicial view of the case to decide if Michael Randall and Pat Potell.",№1 ЛСВ 1 осмотр,0
"Doctor Kagawa upped his estimate of latency to 7 percent, and it was decided everyone twelve and over should be tested, even the ones who hadn't been paralyzed by their view of the heavens.",№1 ЛСВ 1 осмотр,0
"and suddenly Eva was above the park and Zozobra loomed before her, the huge white-robed figure with its black bow tie and buttons, dwarfing the nearby buildings, standing still in the darkness like an actor waiting for his cue while tiny mariachis warbled at his feet. Beneath him the park teemed with people – no lazy rooftop picnics now. People crammed through the gates, shouldering each other for a view. # Eva stopped, panting. Her head throbbed and her legs were shaking.",№1 ЛСВ 1 осмотр,0
"Lighthawk flies down and gives several Indian leaders-short, dignified men, their eyes shining with delight-their first view of their homeland from the air.",№1 ЛСВ 1 осмотр,0
"As can be observed from the contrast between I saw him swim/swimming across the river, the infinitive refuses a partial view of an action-like event as intercepted midway between the beginning and the end.",№1 ЛСВ 1 осмотр,0
"Why, right at this very minute, King Rayden is t there on the road in front of us, galumphing around on that horse of his with his eyes peeled for a first view of the chimneys of Gepeth.",№1 ЛСВ 1 осмотр,0
shoppers and pubgoers to watch videos of missing four year old Simon Jones which are going on public view. ,№1 ЛСВ 1 осмотр,0
Exhibition: place where one's work goes on public view; to make an exhibition of oneself; exhibitionism; self-exposure.,№1 ЛСВ 1 осмотр,0
"As if dislodged by her view of it, the grouse plunges out of the tree, wings set, sailing down the mountain.",№1 ЛСВ 1 осмотр,0
"Some are never intended for view, as with those objects buried at a house compound, while others",№1 ЛСВ 1 осмотр,0
I could see a roof that the building's architects had never intended for public view.,№1 ЛСВ 1 осмотр,0
"Unlike the monuments, whose royal proclamations are intended for public view, "" the ceramic vessels are often very anecdotal and are where",№1 ЛСВ 1 осмотр,0
"For the CIA, that represents something of a return to its roots, and the push toward flesh-and-blood spying has become a key ingredient in the sweeping post-Cold War re-evaluation of the intelligence community. # Still, "" it is now time to assess whether the structure and organization of the community are serving our national security interests, "" says Sen. David Boren, D-Okla., chairman of the Intelligence Committee. # As befits the intelligence community's obsession with secrecy, most of Congress' yearlong study will be cloaked from view. # Among the questions being examined: Could the war with Iraq have been avoided if the CIA had cultivated more agents on the ground rather than relying on high-cost but relatively risk-free electronic intelligence? # The stakes are high. Foster warns that major changes - disrupting long- term intelligence relationships and routines - could "" absolutely cripple "" intelligence efforts amid increasing global instability. # Created as a hedge against a Pearl Harbor-style sneak attack, U.S. intelligence has grown vast and powerful - some say wasteful",№1 ЛСВ 1 осмотр,0
